PLANT ID,Size of patch,plant community,biomass
1-L1-K,Large,Knapweed,0.174
2-L1-K,Large,Knapweed,0.409
3-L1-K,Large,Knapweed,0.019
4-L1-K,Large,Knapweed,0.17
5-L1-K,Large,Knapweed,0.163
6-L1-K,Large,Knapweed,0.324
7-L1-K,Large,Knapweed,0.143
8-L1-K,Large,Knapweed,0.148
9-L1-K,Large,Knapweed,0.142
1-L1-P,Large,Natural,0.024
2-L1-P,Large,Natural,0.318
3-L1-P,Large,Natural,0.402
4-L1-P,Large,Natural,
5-L1-P,Large,Natural,0.58
6-L1-P,Large,Natural,0.442
7-L1-P,Large,Natural,0.647
8-L1-P,Large,Natural,0.207
9-L1-P,Large,Natural,0.275
1-L2-K,Large,Knapweed,0.48
2-L2-K,Large,Knapweed,0.657
3-L2-K,Large,Knapweed,0.875
4-L2-K,Large,Knapweed,0.449
5-L2-K,Large,Knapweed,0.353
6-L2-K,Large,Knapweed,0.343
7-L2-K,Large,Knapweed,0.196
8-L2-K,Large,Knapweed,0.54
9-L2-K,Large,Knapweed,0.531
1-L2-P,Large,Natural,0.347
2-L2-P,Large,Natural,0.505
3-L2-P,Large,Natural,0.349
4-L2-P,Large,Natural,0.417
5-L2-P,Large,Natural,0.744
6-L2-P,Large,Natural,0.684
7-L2-P,Large,Natural,0.193
8-L2-P,Large,Natural,0.21
9-L2-P,Large,Natural,0.677
1-L3-K,Large,Knapweed,0.203
2-L3-K,Large,Knapweed,0.429
3-L3-K,Large,Knapweed,0.513
4-L3-K,Large,Knapweed,0.365
5-L3-K,Large,Knapweed,0.119
6-L3-K,Large,Knapweed,0.072
7-L3-K,Large,Knapweed,0.201
8-L3-K,Large,Knapweed,0.327
9-L3-K,Large,Knapweed,0.266
1-L3-P,Large,Natural,0.214
2-L3-P,Large,Natural,0.516
3-L3-P,Large,Natural,0.72
4-L3-P,Large,Natural,0.148
5-L3-P,Large,Natural,0.352
6-L3-P,Large,Natural,0.296
7-L3-P,Large,Natural,0.651
8-L3-P,Large,Natural,0.334
9-L3-P,Large,Natural,0.003
1-L4-K,Large,Knapweed,0.531
2-L4-K,Large,Knapweed,0.406
3-L4-K,Large,Knapweed,0.347
4-L4-K,Large,Knapweed,0.188
5-L4-K,Large,Knapweed,0.18
6-L4-K,Large,Knapweed,0.126
7-L4-K,Large,Knapweed,0.141
8-L4-K,Large,Knapweed,0.473
9-L4-K,Large,Knapweed,0.136
1-L4-P,Large,Natural,0.896
2-L4-P,Large,Natural,0.739
3-L4-P,Large,Natural,0.733
4-L4-P,Large,Natural,0.249
5-L4-P,Large,Natural,0.145
6-L4-P,Large,Natural,0.523
7-L4-P,Large,Natural,0.449
8-L4-P,Large,Natural,1.133
9-L4-P,Large,Natural,0.433
1-L5-K,Large,Knapweed,0.622
2-L5-K,Large,Knapweed,0.261
3-L5-K,Large,Knapweed,0.338
4-L5-K,Large,Knapweed,0.387
5-L5-K,Large,Knapweed,0.202
6-L5-K,Large,Knapweed,0.99
7-L5-K,Large,Knapweed,0.342
8-L5-K,Large,Knapweed,0.494
9-L5-K,Large,Knapweed,0.636
1-L5-P,Large,Natural,0.467
2-L5-P,Large,Natural,0.366
3-L5-P,Large,Natural,0.044
4-L5-P,Large,Natural,0.432
5-L5-P,Large,Natural,0.465
6-L5-P,Large,Natural,0.402
7-L5-P,Large,Natural,0.401
8-L5-P,Large,Natural,0.407
9-L5-P,Large,Natural,0.562
1-L6-K,Large,Knapweed,
2-L6-K,Large,Knapweed,0.561
3-L6-K,Large,Knapweed,0.725
4-L6-K,Large,Knapweed,0.478
5-L6-K,Large,Knapweed,0.776
6-L6-K,Large,Knapweed,0.273
7-L6-K,Large,Knapweed,0.27
8-L6-K,Large,Knapweed,0.581
9-L6-K,Large,Knapweed,0.369
1-L6-P,Large,Natural,0.323
2-L6-P,Large,Natural,0.225
3-L6-P,Large,Natural,0.38
4-L6-P,Large,Natural,0.255
5-L6-P,Large,Natural,0.12
6-L6-P,Large,Natural,0.466
7-L6-P,Large,Natural,0.306
8-L6-P,Large,Natural,0.142
9-L6-P,Large,Natural,0.307
1-L7-K,Large,Knapweed,0.541
2-L7-K,Large,Knapweed,0.029
3-L7-K,Large,Knapweed,0.032
4-L7-K,Large,Knapweed,0.013
5-L7-K,Large,Knapweed,0.206
6-L7-K,Large,Knapweed,0.316
7-L7-K,Large,Knapweed,0.019
8-L7-K,Large,Knapweed,0.101
9-L7-K,Large,Knapweed,0.003
1-L7-P,Large,Natural,0.219
2-L7-P,Large,Natural,0.146
3-L7-P,Large,Natural,
4-L7-P,Large,Natural,
5-L7-P,Large,Natural,0.436
6-L7-P,Large,Natural,
7-L7-P,Large,Natural,0.281
8-L7-P,Large,Natural,
9-L7-P,Large,Natural,
1-L8-K,Large,Knapweed,0.275
2-L8-K,Large,Knapweed,1.044
3-L8-K,Large,Knapweed,0.163
4-L8-K,Large,Knapweed,0.576
5-L8-K,Large,Knapweed,0.249
6-L8-K,Large,Knapweed,0.898
7-L8-K,Large,Knapweed,0.683
8-L8-K,Large,Knapweed,0.345
9-L8-K,Large,Knapweed,0.96
1-L8-P,Large,Natural,0.226
2-L8-P,Large,Natural,0.239
3-L8-P,Large,Natural,0.61
4-L8-P,Large,Natural,0.483
5-L8-P,Large,Natural,0.471
6-L8-P,Large,Natural,0.274
7-L8-P,Large,Natural,0.048
8-L8-P,Large,Natural,0.353
9-L8-P,Large,Natural,0.303
1-L9-K,Large,Knapweed,0.12
2-L9-K,Large,Knapweed,0.12
3-L9-K,Large,Knapweed,0.38
4-L9-K,Large,Knapweed,0.283
5-L9-K,Large,Knapweed,0.682
6-L9-K,Large,Knapweed,0.656
7-L9-K,Large,Knapweed,0.316
8-L9-K,Large,Knapweed,0.275
9-L9-K,Large,Knapweed,0.26
1-L9-P,Large,Natural,0.336
2-L9-P,Large,Natural,0.516
3-L9-P,Large,Natural,0.32
4-L9-P,Large,Natural,0.189
5-L9-P,Large,Natural,0.325
6-L9-P,Large,Natural,0.306
7-L9-P,Large,Natural,0.275
8-L9-P,Large,Natural,0.479
9-L9-P,Large,Natural,0.128
1-L10-K,Large,Knapweed,0.134
2-L10-K,Large,Knapweed,0.228
3-L10-K,Large,Knapweed,0.355
4-L10-K,Large,Knapweed,0.143
5-L10-K,Large,Knapweed,0.286
6-L10-K,Large,Knapweed,0.13
7-L10-K,Large,Knapweed,0.138
8-L10-K,Large,Knapweed,0.228
9-L10-K,Large,Knapweed,0.136
1-L10-P,Large,Natural,0.47
2-L10-P,Large,Natural,0.073
3-L10-P,Large,Natural,0.186
4-L10-P,Large,Natural,0.074
5-L10-P,Large,Natural,0.055
6-L10-P,Large,Natural,0.087
7-L10-P,Large,Natural,0.383
8-L10-P,Large,Natural,0.194
9-L10-P,Large,Natural,0.361
1-L11-K,Large,Knapweed,0.487
2-L11-K,Large,Knapweed,0.164
3-L11-K,Large,Knapweed,0.263
4-L11-K,Large,Knapweed,0.563
5-L11-K,Large,Knapweed,0.103
6-L11-K,Large,Knapweed,0.249
7-L11-K,Large,Knapweed,0.214
8-L11-K,Large,Knapweed,0.229
9-L11-K,Large,Knapweed,0.194
1-L11-P,Large,Natural,0.159
2-L11-P,Large,Natural,0.147
3-L11-P,Large,Natural,0.394
4-L11-P,Large,Natural,0.334
5-L11-P,Large,Natural,0.136
6-L11-P,Large,Natural,0.311
7-L11-P,Large,Natural,0.336
8-L11-P,Large,Natural,0.294
9-L11-P,Large,Natural,0.396
1-L12-K,Large,Knapweed,0.611
2-L12-K,Large,Knapweed,0.305
3-L12-K,Large,Knapweed,0.33
4-L12-K,Large,Knapweed,0.178
5-L12-K,Large,Knapweed,0.254
6-L12-K,Large,Knapweed,0.567
7-L12-K,Large,Knapweed,0.196
8-L12-K,Large,Knapweed,0.105
9-L12-K,Large,Knapweed,0.135
1-L12-P,Large,Natural,0.695
2-L12-P,Large,Natural,0.919
3-L12-P,Large,Natural,0.732
4-L12-P,Large,Natural,0.47
5-L12-P,Large,Natural,0.443
6-L12-P,Large,Natural,0.841
7-L12-P,Large,Natural,0.551
8-L12-P,Large,Natural,1.057
9-L12-P,Large,Natural,0.22
1-L13-K,Large,Knapweed,0.469
2-L13-K,Large,Knapweed,0.106
3-L13-K,Large,Knapweed,
4-L13-K,Large,Knapweed,0.275
5-L13-K,Large,Knapweed,0.424
6-L13-K,Large,Knapweed,0.079
7-L13-K,Large,Knapweed,0.282
8-L13-K,Large,Knapweed,0.168
9-L13-K,Large,Knapweed,0.172
1-L13-P,Large,Natural,
2-L13-P,Large,Natural,0.034
3-L13-P,Large,Natural,0.046
4-L13-P,Large,Natural,0.57
5-L13-P,Large,Natural,0.101
6-L13-P,Large,Natural,0.641
7-L13-P,Large,Natural,0.418
8-L13-P,Large,Natural,0.142
9-L13-P,Large,Natural,
1-L14-K,Large,Knapweed,0.288
2-L14-K,Large,Knapweed,0.198
3-L14-K,Large,Knapweed,0.127
4-L14-K,Large,Knapweed,0.123
5-L14-K,Large,Knapweed,0.023
6-L14-K,Large,Knapweed,0.46
7-L14-K,Large,Knapweed,0.245
8-L14-K,Large,Knapweed,0.361
9-L14-K,Large,Knapweed,0.002
1-L14-P,Large,Natural,0.5
2-L14-P,Large,Natural,0.312
3-L14-P,Large,Natural,0.196
4-L14-P,Large,Natural,0.326
5-L14-P,Large,Natural,0.245
6-L14-P,Large,Natural,0.881
7-L14-P,Large,Natural,0.974
8-L14-P,Large,Natural,0.26
9-L14-P,Large,Natural,0.474
1-L15-K,Large,Knapweed,1.373
2-L15-K,Large,Knapweed,0.818
3-L15-K,Large,Knapweed,0.606
4-L15-K,Large,Knapweed,0.328
5-L15-K,Large,Knapweed,0.41
6-L15-K,Large,Knapweed,0.396
7-L15-K,Large,Knapweed,0.395
8-L15-K,Large,Knapweed,0.348
9-L15-K,Large,Knapweed,0.368
1-L15-P,Large,Natural,0.56
2-L15-P,Large,Natural,0.621
3-L15-P,Large,Natural,0.209
4-L15-P,Large,Natural,0.783
5-L15-P,Large,Natural,0.859
6-L15-P,Large,Natural,0.473
7-L15-P,Large,Natural,0.481
8-L15-P,Large,Natural,0.093
9-L15-P,Large,Natural,0.421
1-L16-K,Large,Knapweed,0.426
2-L16-K,Large,Knapweed,0.798
3-L16-K,Large,Knapweed,0.267
4-L16-K,Large,Knapweed,0.517
5-L16-K,Large,Knapweed,0.543
6-L16-K,Large,Knapweed,0.636
7-L16-K,Large,Knapweed,0.557
8-L16-K,Large,Knapweed,0.578
9-L16-K,Large,Knapweed,0.507
1-L16-P,Large,Natural,0.356
2-L16-P,Large,Natural,0.428
3-L16-P,Large,Natural,0.279
4-L16-P,Large,Natural,0.587
5-L16-P,Large,Natural,0.33
6-L16-P,Large,Natural,0.901
7-L16-P,Large,Natural,0.291
8-L16-P,Large,Natural,0.479
9-L16-P,Large,Natural,0.395
1-L17-K,Large,Knapweed,0.436
2-L17-K,Large,Knapweed,0.426
3-L17-K,Large,Knapweed,0.422
4-L17-K,Large,Knapweed,0.506
5-L17-K,Large,Knapweed,0.568
6-L17-K,Large,Knapweed,0.577
7-L17-K,Large,Knapweed,0.289
8-L17-K,Large,Knapweed,0.526
9-L17-K,Large,Knapweed,0.803
1-L17-P,Large,Natural,0.668
2-L17-P,Large,Natural,0.679
3-L17-P,Large,Natural,0.384
4-L17-P,Large,Natural,0.582
5-L17-P,Large,Natural,0.209
6-L17-P,Large,Natural,0.837
7-L17-P,Large,Natural,0.3
8-L17-P,Large,Natural,0.681
9-L17-P,Large,Natural,0.651
1-L18-K,Large,Knapweed,0.576
2-L18-K,Large,Knapweed,0.184
3-L18-K,Large,Knapweed,0.515
4-L18-K,Large,Knapweed,0.308
5-L18-K,Large,Knapweed,0.362
6-L18-K,Large,Knapweed,0.431
7-L18-K,Large,Knapweed,0.229
8-L18-K,Large,Knapweed,0.384
9-L18-K,Large,Knapweed,0.175
